,Caterogy,Sentence
462,3,you never know where change lane be go to take you but it 's heck of ride .
463,0,"i do go back and check out the last 10 minute , but these be more repulsive than the first 30 or 40 minute ."
464,2,"ah , the travail of metropolitan life !"
465,3,"fessenden have nurture his metaphor at the expense of his narrative , but he do display an original talent ."
466,2,"for all the complication , it 's all surprisingly predictable ."
467,3,what 's invigorate about it be that it do't give damn .
468,3,"both exuberantly romantic and serenely melancholy , what time be it there ?"
469,0,"unfortunately , one hour photo live down to its title ."
470,4,"a first class road movie that prove you can run away from home , but your ego and all your problem go with you ."
471,1,... most viewer will wish there have be more of the `` queen `` and less of the `` damn . ``
472,4,"a stirring , funny and finally transport re imagining of beauty and the beast and 1930s horror film"
473,1,a sloppy slapstick throwback to long go bottom of the bill fare like the ghost and mr. chicken .
474,1,just kiss be just waste .
475,0,"instead of make his own style , director marcus adams just copy from various source good source , bad mixture"
476,2,"as hybrid teen thriller and murder mystery , murder by number fit the profile too closely ."
477,2,"... best see as speculative history , as much an exploration of the paranoid impulse as creative sequel to the warren report ."
478,4,"stand as one of the year 's most intriguing movie experience , let its imagery speak for it while it force you to ponder anew what movie can be ."
479,0,the rest of the film ... be dudsville .
480,1,"`` freaky friday , `` it 's not ."
481,2,"maid in manhattan might not look so appeal on third or fourth view down the road ... but as high concept vehicle for two bright star of the moment who can rise to fan ' lofty expectation , the movie pass inspection ."
482,2,the film truly do rescue the funk brother from motown 's shadow .
483,1,"right now , they 're merely signposts mark the slow , linger death of imagination ."
484,0,an incredibly irritating comedy about thoroughly vacuous people ... manage to embody the bad excess of nouvelle vague without any of its sense of fun or energy .
485,1,and people make fun of me for like showgirl .
486,1,"often linger just as long on the irrelevant as on the engaging , which gradually turn what time be it there ?"
487,1,the acting be fine but the script be about as interesting as recording of conversation at the wal mart checkout line .
488,3,"it really be shame that more wo't get an opportunity to embrace small , sweet ` evelyn . '"
489,2,"collateral damage offer formula payback and the big payoff , but the explosion tend to simply hit their mark , pyro correctly ."
490,4,"good fun , good action , good acting , good dialogue , good pace , good cinematography ."
491,0,"this be fragmented film , once good idea that be follow by the bad idea to turn it into movie ."
492,0,"instead , it 'll only put you to sleep ."
493,4,"hugely entertain from start to finish , feature fall from grace that still leave shockwaves , it will gratify anyone who have ever suspect hollywood of be overrun by corrupt and hedonistic weasel ."
494,3,"assayas ' ambitious , sometimes beautiful adaptation of jacques chardonne 's novel ."
495,2,"the film affords us intrigue glimpse of the insight glean from lifetime of spiritual inquiry , but ram das fierce grace do't organize it with any particular insight ."
496,3,"confession may not be straightforward bio , nor do it offer much in the way of barris ' motivation , but the film be an oddly fascinating depiction of an architect of pop culture ."
497,2,"williams play sy , another of his open face , smile madman , like the killer in insomnia ."
498,1,"it follow the blair witch formula for an hour , in which we 're told something creepy and vague be in the work , and then it go awry in the final 30 minute ."
499,4,"with or without the sex , wonderful tale of love and destiny , tell well by master storyteller"
500,3,"by halfway through this picture be begin to hate it , and , of course , feel guilty for it ... then , miracle of miracle , the movie do flip flop ."
501,4,"extremely well act by the four primary actor , this be seriously intend movie that be not easily forget ."
502,1,into how long be this movie ?
503,3,together time out and human resource establish mr. cantet as france 's foremost cinematic poet of the workplace .
504,0,the country bear waste an exceptionally good idea .
505,3,the magic and original running time of ace japanimator hayao miyazaki 's spirit away survives intact in bv 's re voice version .
506,1,"his nelson 's screenplay need some serious re work to show more of the dilemma , rather than have his character stage shout match about it ."
507,0,reign of fire have the disadvantage of also look cheap .
508,0,most of the storyline feel like time filler between surf shot .
509,1,"too long , and lard with exposition , this somber cop drama ultimately feels as flat as the scruffy sand of its titular community ."
510,3,"ou 've get to love disney pic with as little cleavage as this one have , and heroine as feisty and principled as jane ."
511,4,"a brisk , reverent , and subtly different sequel ."
512,3,my wife be an actress work as well as it do because the lead be such companionable couple .
513,1,a prolonged extrusion of psychopathic pulp .
514,0,an incredibly irritating comedy about thoroughly vacuous people ... manage to embody the bad excess of nouvelle vague without any of its sense of fun or energy .
515,1,a brutally dry satire of middle american numbness .
516,3,there 's something poignant about an artist of 90 plus year take the effort to share his impression of life and loss and time and art with us .
517,2,"i highly recommend irwin , but not in the way this film showcases him ."
518,0,"unfortunately , the experience of actually watch the movie be less compel than the circumstance of its making ."
519,2,"the soupy end result have the odd distinction of be playful without be fun , too ."
520,2,"when seagal appear in an orange prison jumpsuit , want to stand up in the theater and shout , ` hey , kool aid ! '"
521,1,"the ethos of the chelsea hotel may shape hawke 's artistic aspiration , but he have't yet coordinate his own dv poetry with the beat he hear in his soul ."
522,3,pipe dream do have its charm .
523,4,surprisingly powerful and universal .
524,3,it 's an experience in understand unique culture that be present with universal appeal .
525,4,"a cultural wildcard experience wacky , different , unusual , even nutty ."
526,4,this be an interesting movie ! ``
527,4,"the byplay and bickering between the now spy savvy sibling , carmen vega and juni sabara cortez , anchor the film in very real and amuse give and take ."
528,2,i do't think so .
529,2,"wow , jump cut !"
530,1,not once do it come close to be excite .
531,0,"a vile , incoherent mess ... scummy ripoff of david cronenberg 's brilliant ` videodrome . '"
532,2,for single digit kidlets stuart little be still no brainer .
533,1,paul cox need to show it .
534,2,the pace of the film be very slow for obvious reason and that too become off put .
535,3,"both grant and hoult carry the movie because they be believable as people flaw , assure of the wrong thing , and scar to admit how much they may really need the company of others ."
536,1,"even fan of ismail merchant 's work , suspect , would have hard time sit through this one ."
537,1,weird .
538,2,the balkan provide the obstacle course for the love of good woman .
539,1,"witless , pointless , tasteless and idiotic ."
540,4,"grenier be terrific , bring an unforced , rapid fire delivery to toback 's heidegger and nietzsche reference dialogue ."
541,1,no such thing break no new ground and tread old turf like hippopotamus ballerina .
542,3,and it be .
543,0,... pretentious mess ...
544,2,"there be one surefire way to get nomination for best foreign film oscar make movie about whimsical folk who learn nonchallenging , life affirm lesson while walk around foreign city with stunning architecture ."
545,4,... one of the most entertaining monster movie in age ...
546,3,"what 's most memorable about circuit be that it 's shoot on digital video , whose tiny camera enable shafer to navigate space both large ... and small ... with considerable aplomb ."
547,1,all the small moment and flashback do't add up to much more than trite observation on the human condition .
548,4,showtime be fine look film with bouncy score and clutch of lively song for deft punctuation .
549,4,"fifty year after the fact , the world 's political situation seem little different , and director phillip noyce bring out the allegory with remarkable skill ."
550,3,"even at its bad , it 's not half bad ."
551,0,"the sum of all fear pretend to be serious exploration of nuclear terrorism , but it 's really nothing more than warm over cold war paranoia ."
552,4,"the ensemble cast turn in collectively stellar performance , and the writing be tight and truthful , full of funny situation and honest observation ."
553,3,"the movie be amateurish , but it 's minor treat ."
554,4,it 's worth take the kid to .
555,1,"since dahmer resort to standard slasher flick thrill when it should be most in the mind of the killer , it miss major opportunity to be truly revelatory about his psyche ."
556,2,the performance be all solid it merely lack originality to make it great movie .
557,1,dignify ceo 's meet at rustic retreat and pee against tree .
558,3,reno deliver monologue that manage to incorporate both the horror and the absurdity of the situation in well balanced fashion .
559,3,"not too fancy , not too fill , not too fluffy , but definitely tasty and sweet ."
560,3,"though it run 163 minute , safe conduct be anything but languorous ."
561,3,"a heady , biting , be bop ride through nighttime manhattan , loquacious videologue of the modern male and the length to which he 'll go to weave protective cocoon around his own ego ."
562,1,"a worthy idea , but the uninspired script , act and direction never rise above the level of an after school tv special ."
563,1,"all three description suit evelyn , besotted and obvious drama that tell us nothing new ."
564,4,the trial of henry kissinger be remarkable piece of filmmaking ... because you get it .
565,1,all mood and no movie .
566,0,this thing be virtually unwatchable .
567,3,the casting of von sydow ... be itself intacto 's lucky stroke .
568,4,it 's be do before but never so vividly or with so much passion .
569,2,a puzzling experience .
570,0,it be not the first time that director sara sugarman stoop to have character drop their pant for laugh and not the last time she fail to provoke them .
571,4,"more intimate than spectacular ,.t . be carry less by wow factor than by its funny , move yarn that hold up well after two decade ."
572,3,there 's lot to recommend read my lip .
573,3,"initially grip , eventually cloy pow drama ."
574,1,animate drivel meant to enhance the self image of drool idiot .
575,2,renner ?
576,2,clayburgh and tambor be charm performer neither of them deserve eric schaeffer .
577,3,"affectionately remind us that , in any language , the huge stuff in life can usually be trace back to the little thing ."
578,4,"ryan gosling be , in word , brilliant as the conflicted daniel ."
579,0,it 's barely tolerable slog over well trod ground .
580,3,"it be about irrational , unexplainable life and it seem so real because it do not attempt to filter out the complexity ."
581,3,it 's refresh to see romance this smart .
582,1,"after the first 10 minute , which be worth see , the movie sink into an abyss of clich , depression and bad alternative music ."
583,4,robinson 's web of suspense match the page turn frenzy that clancy creates .
584,1,"like medium grade network sitcom mostly inoffensive , fitfully amuse , but ultimately so weightless that decent draft in the auditorium might blow it off the screen ."
585,2,"ultimate be ride , basically the kind of great hit reel that might come with subscription to espn the magazine ."
586,2,"in 102 minute film , aaliyah get at most 20 minute of screen time ."
587,1,the film 's needlessly opaque intro take its doe eye crudup out of pre 11 new york and onto cross country road trip of the homeric kind .
588,1,exhibit the shallow sensationalism characteristic of soap opera ... more salacious telenovela than serious drama .
589,3,... work on some level and be certainly worth see at least once .
590,3,"it 's treat watch shaw , british stage icon , melt under the heat of phocion 's attention ."
591,3,"k 19 will not go down in the annals of cinema as one of the great submarine story , but it be an engaging and excite narrative of man confront the demon of his own fear and paranoia ."
592,1,"like the excruciate end of day , collateral damage present schwarzenegger as tragic figure , but sympathy really belongs with any viewer force to watch him try out so many complicate facial expression ."
593,2,the combination of lightness and strictness in this instance give italian for beginner an amiable aimlessness that keep it from seem predictably formulaic .
594,4,their work be fantastic .
595,3,city by the sea be gritty police thriller with all the dysfunctional family dynamic one could wish for .
596,3,"though writer director bart freundlich 's film ultimately become simplistic story about dysfunctional parent child relationship , it have some special quality and the soulful gravity of crudup 's anchoring performance ."
597,4,this be movie you can trust .
598,3,"watch the chemistry between freeman and judd , however , almost make this movie worth see ."
599,1,this feature be about as necessary as hole in the head
600,0,the film desperately sink further and further into comedy futility .
601,0,very stupid and annoy .
602,4,there 's no reason to miss interview with the assassin
603,2,"what bloody sunday lack in clarity , it make up for with great , fiery passion ."
604,1,"boast some of the most poorly stag and lit action in memory , impostor be as close as you can get to an imitation movie ."
605,4,the universal theme of become good person through love have never be film more irresistibly than in ` baran . '
606,3,"if you love read and or poetry , then by all mean check it out ."
607,3,just offbeat enough to keep you interested without come close to bowl you over .
608,1,"payami try to raise some serious issue about iran 's electoral process , but the result be film that 's about as subtle as party political broadcast ."
609,3,rodriguez do splendid job of racial profiling hollywood style cast excellent latin actor of all age trend long overdue .
610,3,"throughout , mr. audiard 's direction be fluid and quick ."
611,3,much of the movie 's charm lie in the utter cuteness of stuart and margolo .
612,2,the film virtually choke on its own self consciousness .
613,3,"even when it drag , we be force to reflect that its visual imagination be breathtaking"
614,3,"if you 're down for silly hack and slash flick , you can do no wrong with jason ."
615,4,astonish ... frame profound ethical and philosophical question in the form of dazzle pop entertainment .
616,4,"it make compelling , provocative and prescient viewing ."
617,4,"the increasingly diverse french director have create film that one can honestly describe as look , sound and simply feel like no other film in recent history ."
618,3,"k 19 the widowmaker be derivative , overlong , and bombastic yet surprisingly entertaining ."
619,1,"the action here be unusually tame , the character be too simplistic to maintain interest , and the plot offer few surprise ."
620,2,you could love safe conduct laissez passer for be subtitle french movie that be 170 minute long .
621,1,"strip almost entirely of such tool as nudity , profanity and violence , labute do manage to make few point about modern man and his problematic quest for human connection ."
622,1,"start out with tremendous promise , introduce an intriguing and allure premise , only to fall prey to boatload of screenwriting cliche that sink it fast than leaky freighter ."
623,1,"go , girl , right down the reality drain ."
624,4,"while general audience might not come away with great knowledge of the fact of cuban music , they 'll be treat to an impressive and highly entertaining celebration of its sound ."
625,2,i be send copyof this film to review on dvd .
626,1,"a film which press familiar herzog trope into the service of limpid and conventional historical fiction , when really what we demand of the director be to be mesmerise ."
627,3,"... it 's as comprehensible as any dummy guide , something even non techie can enjoy ."
628,2,that be make almost impossible by event that set the plot in motion .
629,3,"frei assemble fascinating profile of deeply humanistic artist who , in spite of all that he 's witnessed , remain surprisingly idealistic , and retain an extraordinary faith in the ability of image to communicate the truth of the world around him ."
630,4,"an action thriller of the fine kind , evoke memory of day of the jackal , the french connection , and heat ."
631,1,"what might have be readily dismiss as the tiresome rant of an age filmmaker still thumb his nose at convention take surprising , subtle turn at the midway point ."
632,3,a compelling story of musical passion against governmental odds .
633,2,let 's hope not .
634,2,"it share the first two film ' loose jointed structure , but laugh out loud bit be few and far between ."
635,1,"a fragile framework upon which to hang broad , mildly flesh out character that seem to have be conjure up only 10 minute prior to film ."
636,1,too bad kramer could't make guest appearance to liven thing up .
637,3,adaptation be intricately construct and in strange way nails all of orlean 's theme without be true adaptation of her book .
638,0,"what ensue be much blood splattering , mass drug induce bowel evacuation , and none too funny commentary on the cultural distinction between american and brit ."
639,3,... rogers 's mouth never stop shut about the war between the sex and how to win the battle .
640,4,"not only do spider man deliver , but suspect it might deliver again and again ."
641,1,go back to sleep .
642,3,"more of the same from taiwanese auteur tsai ming liang , which be good news to anyone who 's fall under the sweet , melancholy spell of this unique director 's previous film ."
643,1,disreputable doings and exquisite trapping be dampen by lackluster script and substandard performance .
644,1,look and feel like low budget hybrid of scarface or carlito 's way .
645,4,"beautifully craft and brutally honest , promise offer an unexpected window into the complexity of the middle east struggle and into the humanity of its people ."
646,4,"deep intelligence and warm , envelop affection breathe out of every frame ."
647,2,"it may be about drug dealer , kidnapping , and unsavory folk , but the tone and pacing be shockingly intimate ."
648,1,"jaw droppingly superficial , strain to get by on humor that be not even as dare as john ritter 's glory day on three 's company ."
649,3,a bodice ripper for intellectual .
650,3,for most of the distance the picture provide satisfyingly unsettling ride into the dark place of our national psyche .
651,0,"the film do't have enough innovation or pizazz to attract teenager , and it lack the novel charm that make spy kid surprising winner with both adult and young audience ."
652,2,this off put french romantic comedy be sure to test severely the indulgence of fan of be lie .
653,0,"boy , have this franchise ever run out of gas ."
654,3,... an interesting slice of history .
655,0,but one thing 's for sure it never come close to be either funny or scary .
656,4,nicole kidman make it party worth attend .
657,3,"the storytelling may be ordinary , but the cast be one of those all star reunion that fan of gosford park have come to assume be just another day of brit cinema ."
658,3,"how good this film might be , depend if you believe that the shocking conclusion be too much of plunge or not ."
659,3,otto sally have real filmmaker 's eye .
660,4,the cast be top notch and predict there will be plenty of female audience member drool over michael idemoto as michael .
661,0,"it 's not bad premise , just bad movie ."
662,3,"khouri manages , with terrific flair , to keep the extreme of screwball farce and blood curdle family intensity on one continuum ."
663,1,"even as the hero of the story rediscover his passion in life , the mood remain oddly detach ."
664,3,"deflate end aside , there 's much to recommend the film ."
665,1,"play like one long , meander sketch inspire by the work of john water and todd solondz , rather than fully developed story ."
666,1,"for film that 's be advertise as comedy , sweet home alabama be't as funny as you 'd hop ."
667,4,read my lip be to be view and treasure for its extraordinary intelligence and originality as well as its lyrical variation on the game of love .
668,3,"she nearly glow with enthusiasm , sensuality and conniving wit ."
669,3,"shyamalan take potentially trite and overused concept alien come to earth and infuse it into rustic , realistic , and altogether creepy tale of hidden invasion ."
670,4,"if you 're look for something new and hop for something entertaining , you 're in luck ."
671,3,p artnering murphy with robert de niro for the tv cop comedy showtime would seem to be surefire casting .
672,2,"with three excellent principal singer , youthful and good look diva and tenor and richly handsome location , it 's enough to make you wish jacquot have leave well enough alone and just film the opera without all these distortion of perspective ."
673,3,"a smart , arch and rather cold blood comedy ."
674,2,"not everyone will play the dark , challenge tune teach by the piano teacher ."
675,1,"at every opportunity to do something clever , the film go right over the edge and kill every sense of believability ... all you have leave be no surprise series of explosion and violence while banderas look like he 's not try to laugh at how bad it"
676,1,it 's such mechanical endeavor that it never bother to question why somebody might devote time to see it .
677,1,the film be strictly routine .
678,3,change lane try for more .
679,1,this be movie so insecure about its capacity to excite that it churn up not one but two flagrantly fake thunderstorm to underscore the action .
680,2,throw it all away for the fleeting joy of love 's brief moment .
681,1,"dong never push for insight beyond the superficial tension of the dynamic he 's dissecting , and the film settle too easily along the contour of expectation ."
682,2,"muddle , trashy and incompetent"
683,2,tsai ming liang 's ghost be painfully aware of their not be .
684,1,eight legged freak wo't join the pantheon of great monster science fiction flick that we have come to love ...
685,1,the sweet thing leave an awful sour taste .
686,2,"life or something like it have its share of high point , but it miss too many opportunity ."
687,4,"anyone who welcome dash of the avant garde fuse with their humor should take pleasure in this craze , joyous romp of film ."
688,3,"predictable and cloying , though brown sugar be so earnest in its yearning for the day before rap go nihilistic that it summon more spirit and bite than your average formulaic romantic quadrangle ."
689,1,a slow moving police procedural thriller that take its title all too literally .
690,2,bang !
691,3,"everybody love david and goliath story , and this one be tell almost entirely from david 's point of view ."
692,3,both detective story and romance spice with the intrigue of academic skullduggery and politics .
693,3,toe the fine line between cheese and earnestness remarkably well everything be deliver with such conviction that it 's hard not to be carry away .
694,3,the success of undercover brother be find in its ability to spoof both black and white stereotype equally .
695,1,"as the mediterranean sparkle , ` sweep away ' sink ."
696,0,the first fatal attraction be vile enough .
697,0,"for those for whom the name woody allen be once guarantee of something fresh , sometimes funny , and usually genuinely worthwhile , hollywood end be depressing experience"
698,1,seem like something american and european gay movie be do 20 year ago .
699,0,"it look like an action movie , but it 's so poorly make , on all level , that it do't even qualify as spoof of such ."
700,3,"just bring on the battle bot , please !"
701,0,every conceivable mistake director could make in film opera have be perpetrate here .
702,1,"content merely to lionize its title character and exploit his anger all for easy sanctimony , formulaic thrill and ham fisted sermon on the need for national health insurance ."
703,3,harks back to time when movie have more to do with imagination than market research .
704,0,"once she let her love deprave lead meet , denis ' story become hopeless , unsatisfying muddle"
705,3,"... light , yet engross piece ."
706,1,"will undoubtedly play well in european market , where mr. besson be brand name , and in asia , where ms. shu be an institution , but american audience will probably find it familiar and insufficiently cathartic ."
707,2,"a minor work yet there 's no deny the potency of miller 's strange , fleeting brew of hopeful perseverance and hopeless closure ."
708,1,"sandra bullock and hugh grant make great team , but this predictable romantic comedy should get pink slip ."
709,1,"for film about explosion and death and spy , `` ballistic eck vs. sever `` seem as safe as child 's film ."
710,3,"murderous maid have lot go for it , not least the brilliant performance by testud ... and parmentier ."
711,3,pray have really do his subject justice .
712,2,the camera whirl !
713,2,"there be one surefire way to get nomination for best foreign film oscar make movie about whimsical folk who learn nonchallenging , life affirm lesson while walk around foreign city with stunning architecture ."
714,3,"but it will just as likely make you weep , and it will do so in way that do't make you feel like sucker ."
715,2,"a jewish ww ii doc that be't try simply to out shock , out outrage or out depress its potential audience !"
716,1,this insufferable movie be mean to make you think about existential suffering .
717,3,"uneven , self conscious but often hilarious spoof ."
718,0,"rather , pity anyone who see this mishmash ."
719,1,too silly to take seriously .
720,3,"about schmidt be nicholson 's goofy , heartfelt , mesmerize king lear ."
721,1,"as feature length film , it wear out its welcome as tryingly as the title character ."
722,2,nachtwey clear the cynicism right out of you .
723,1,shrewd but pointless .
724,1,"that 's muy loco , but no more ridiculous than most of the rest of `` dragonfly . ``"
725,3,"part seem like they be lift from terry gilliam 's subconscious , press through kafka 's meat grinder and into bu uel 's casing"
726,4,"more than anything else , kiss jessica stein inject freshness and spirit into the romantic comedy genre , which have be hold hostage by generic script that seek to remake sleepless in seattle again and again ."
727,3,an old fashioned drama of substance about teacher 's slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue .
728,1,"this be truly , truly bad movie ."
729,2,"you have once again enter the bizarre realm where director adrian lyne hold sway , where all relationship be simultaneously broadly metaphorical , oddly abstract , and excruciatingly literal ."
730,1,suffice to say its total promise be leave slightly unfulfilled .
731,4,"one of the year 's best film , feature an oscar worthy performance by julianne moore ."
732,2,wiseman reveal the victim of domestic abuse in all of their pity and terror .
733,3,a sentimental hybrid that could benefit from the spice of specificity .
734,3,"an unforgettable look at morality , family , and social expectation through the prism of that omnibus tradition call marriage ."
735,2,an ambitious and move but bleak film .
736,4,especially give credit to affleck .
737,2,"basically , it 's pretty but dumb ."
738,1,"no , do't know why steven seagal be consider star , nor why he keep be cast in action film when none of them be ever any good or make any money ."
739,1,the hanukkah spirit seem fry in pork .
740,2,"watch.t now , in an era dominate by cold , loud special effect laden extravaganza , one be strike less by its lavish grandeur than by its intimacy and precision ."
741,1,the fact that it be't very good be almost beside the point .
742,3,"the more you think about the movie , the more you will probably like it ."
743,4,"the film be hoot , and be just as good , if not good than much of what 's on saturday morning tv especially the pseudo educational stuff we all ca't stand ."
744,3,"if you 've the patience , there be great reward here ."
745,1,"the explosion essentially ruin or , rather , overpower the fiction of the movie for me ."
746,1,the film be so packed with subplots involve the various silbersteins that it feel more like the pilot episode of tv series than feature film .
747,1,"entertains not so much because of its music or comic antic , but through the perverse pleasure of watch disney scrape the bottom of its own cracker barrel ."
748,2,"s face be chillingly unemotive , yet he communicate great deal in his performance ."
749,3,"the light , most breezy movie steven spielberg have make in more than decade ."
750,2,... mostly boring affair with confuse sudden finale that 's likely to irk viewer .
751,1,the movie be too amateurishly square to make the most of its own ironic implication .
752,2,"it 's all entertaining enough , but do't look for any hefty anti establishment message in what be essentially whip crack of buddy movie that end with whimper ."
753,3,arteta paint picture of life live in state of quiet desperation .
754,3,"reign of fire be hardly the most original fantasy film ever make beyond road warrior , it owe enormous debt to alien and every previous dragon drama but that barely make it any less entertaining ."
755,2,a good look but ultimately pointless political thriller with plenty of action and almost no substance .
756,1,"this be remake by the number , link halfwit plot to series of standup routine in which wilson and murphy show how funny they could have be in more ambitious movie ."
757,0,"sink so low in poorly play game of absurd plot twist , idiotic court maneuver and stupid character that even freeman ca't save it ."
758,2,the movie be essentially series of fleetingly interesting actor ' moment .
759,3,"while not for every taste , this often very funny collegiate gross out comedy go long way toward restore the luster of the national lampoon film franchise , too long reduce to direct to video irrelevancy ."
760,2,"while serve sara do have long way to go before it reach the level of crudity in the late austin power extravaganza , there 's nothing here to match that movie 's intermittent moment of inspiration ."
761,1,"the redeeming feature of chan 's film have always be the action , but the stunt in the tuxedo seem tire and , what 's bad , routine ."
762,1,these character become wearisome .
763,2,"lohman adapt to the change require of her , but the actress and director peter kosminsky never get the audience to break through the wall her character erects"
764,2,we have an actor who be great fun to watch performing in film that be only mildly divert .
765,4,the trial of henry kissinger be remarkable piece of filmmaking ... because you get it .
766,3,"with so many bad romance out there , this be the kind of movie that deserve chance to shine ."
767,1,do't do more than expand tv show to movie length .
768,2,you bet there be and it 's what make this rather convoluted journey worth take .
769,0,this pathetic junk be barely an hour long .
770,3,"escape the precious trapping of most romantic comedy , infuse into the story very real , complicated emotion ."
771,0,what 's hard to understand be why anybody pick it up .
772,1,"with zoe clarke williams 's lackluster thriller `` new best friend `` , who need enemy ?"
773,2,"if you 're pay attention , the `` big twist `` be pretty easy to guess but that do't make the movie any less entertaining ."
774,4,"the overall result be an intelligent , realistic portrayal of test boundary ."
775,2,the film 's overall mood and focus be interest but constantly unfulfilling .
776,3,"pan nalin 's exposition be beautiful and mysterious , and the interview that follow , with the practitioner of this ancient indian practice , be as subtle and as enigmatic ."
777,0,"an unholy mess , drive by the pathetic idea that if you shoot something on crummy look videotape , it must be label ` hip ' , ` innovative ' and ` realistic ' ."
778,1,"with tiny little joke and nary an original idea , this sappy ethnic sleeper prove that not only blockbuster pollute the summer movie pool ."
779,2,"ah , what the hell ."
780,1,"for casual moviegoer who stumble into rule expect slice of american pie hijinks star the kid from dawson 's creek , they 'll probably run out screaming ."
781,1,the very definition of what critic have come to term an `` ambitious failure . ``
782,4,a fascinating documentary about the long and eventful spiritual journey of the guru who help launch the new age .
783,3,more good than great but freeman and judd make it work .
784,1,like leaf through an album of photo accompany by the sketchiest of caption .
785,3,"elaborate special effect take centre screen , so that the human story be push to one side ."
786,0,"big fat liar be little more than home alone raise to new , self deprecate level ."
787,4,"tell fascinating , compel story ."
788,1,"plot , character , drama , emotion , idea all be irrelevant to the experience of see the scorpion king ."
789,4,"the year 's great adventure , and jackson 's limited but enthusiastic adaptation have make literature literal without kill its soul feat any think person be bind to appreciate ."
790,2,count on his movie to work at the back of your neck long after you leave the theater .
791,0,"due to stodgy , soap opera ish dialogue , the rest of the cast come across as stick figure read line from teleprompter ."
792,2,it look much more like cartoon in the end than the simpson ever have .
793,0,my own minority report be that it stink .
794,2,at its best ... festival in cannes bubble with the excitement of the festival in cannes .
795,1,"some of the computer animation be handsome , and various amuse sidekick add much need levity to the otherwise bleak tale , but overall the film never rise above mediocrity ."
796,2,dolman confine himself to shtick and sentimentality the one bald and the other sloppy .
797,0,"i have return from the beyond to warn you this movie be 90 minute long , and life be too short ."
798,4,"this charming , think provoke new york fest of life and love have its reward ."
799,2,you have enough finely tune act to compensate for the movie 's failing .
800,0,` the ch teau be never quite able to overcome the cultural moat surround its ludicrous and contrive plot . '
801,3,"inherently caustic and oddly whimsical , the film chime in on the grieving process and strangely draw the audience into the unexplainable pain and eccentricity that be attach to the concept of loss ."
802,2,"certainly beautiful to look at , but its not very informative about its titular character and no more challenging than your average television biopic ."
803,3,i also want little alien as friend !
804,2,the dark and bittersweet twist feel strange as thing turn nasty and tragic during the final third of the film .
805,1,ararat feel like book report
806,1,it find no way to entertain or inspire its viewer .
807,2,this be not retread of `` dead poet ' society . ``
808,3,"it cook conduct in low , smoky and invite sizzle ."
809,1,"too much of the movie feel contrive , as if the filmmaker be worry the story would't work without all those gimmick ."
810,2,summer 's far too fleeting to squander on offal like this .
811,4,"a venturesome , beautifully realize psychological mood piece that reveal its first time feature director 's understanding of the expressive power of the camera ."
812,3,they be what make it worth the trip to the theatre .
813,4,"a fine production with splendid singing by angela gheorghiu , ruggero raimondi , and roberto alagna ."
814,4,"the case be convince one , and should give anyone with conscience reason to pause ."
815,1,much of the cast be stiff or just plain bad .
816,3,"downbeat , period perfect biopic hammer home heavy hand moralistic message ."
817,4,insanely hilarious !
818,2,"chance be you wo't , either ."
819,4,turturro be fabulously funny and over the top as ` very sneaky ' butler who excel in the art of impossible disappear reappearing act
820,1,"the film never get over its own investment in conventional arrangement , in term of love , age , gender , race , and class ."
821,3,and we do't avert our eye for moment .
822,1,"attal 's hang ups surround infidelity be so old fashion and , dare say , outdated , it 's wonder that he could't have bring something fresher to the proceeding simply by accident ."
823,0,one of the bad film of 2002 .
824,3,"confession be't always coherent , but it 's sharply comic and surprisingly touching , so hold the gong ."
825,2,"the animation and backdrop be lush and inventive , yet return to neverland never manage to take us to that elusive , lovely place where we suspend our disbelief ."
826,3,"a bracing , unblinking work that serve as painful elegy and sober cautionary tale ."
827,3,"it 's hard to imagine anybody ever be `` in the mood `` to view movie as harrowing and painful as the grey zone , but it 's equally hard to imagine anybody be able to tear their eye away from the screen once it 's start ."
828,3,"amidst the action , the script carry arnold and the viewer into the forbidden zone of sympathize with terrorist motivation by present the `` other side of the story . ``"
829,2,"an 83 minute document of project which start in muddle , seesaw back and forth between control interest multiple time , then find its sweet spot"
830,3,the dirty joke provide the funny moment in this oddly sweet comedy about jokester highway patrolman .
831,2,charlize chase kevin with gun .
832,0,"oedekerk mug mercilessly , and the genuinely funny joke be few and far between ."
833,3,several of steven soderbergh 's early film be hail as the work of an artist .
834,1,what ` blade runner ' would 've look like as low budget series on uhf channel .
835,0,i have to admit walk out of runteldat .
836,3,"a solid cast , assure direction and complete lack of modern day irony ."
837,3,canada 's arctic light shine bright on this frozen tundra soap opera that breathe extraordinary life into the private existence of the inuit people .
838,2,"disney aficionado will notice distinct parallel between this story and the 1971 musical `` bedknobs and broomstick , `` which also deal with british child rediscover the power of fantasy during wartime ."
839,1,"the gag , and the script , be mixed bag ."
840,2,"an uplifting drama ... what antwone fisher be't , however , be original ."
841,3,"it look closely , insightfully at fragile , complex relationship ."
842,1,it 's rare that movie can be as intelligent as this one be in every regard except its storyline everything that 's good be ultimately scuttle by plot that 's just too boring and obvious .
843,0,"spread itself too thin , leave these actor , as well as the member of the commune , short of profound characterization"
844,4,"a breathtaking adventure for all age , spirit tell its poignant and uplifting story in stunning fusion of music and image ."
845,2,gambling and throw basketball game for money be't new plot in fact toback himself use it in black and white .
